Raw Date,settlement id,Type,order id,SKU,description,Quantity,Marketplace,account type,Fulfillment,Order City,Order State,Order Postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total,,,,,,Size,,,
"Apr 13, 2020 11:00:05 AM PDT",12796321091,Order,111-3202662-2265002,9T-HGSZ-I5FG,"Cork Board/Memo Board of Hexagon Felt Pads - 24"" x 18"" (6"" x 6"" each-15 Pack) (Blue)",1,amazon.com,,Amazon,FARMINGDALE,NY,11735-1614,MarketplaceFacilitator,32.99,2.85,0,0,0,0,0,0,-2.85,-4.95,-5.42,0.00,0.00,22.62,,,,,,,,,
"Apr 13, 2020 11:08:09 PM PDT",12796321091,Order,113-6960902-7964240,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Memo Board for Wall, Pastel Tones - 15 Felt Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,MIAMI,FL,33165-3149,,32.99,0,0,0,0,0,0,0,0,-4.95,-5.42,0.00,0.00,22.62,,,,,,,,,
"Apr 13, 2020 6:24:33 PM PDT",12796321091,Order,113-9686683-2943430,26-28FO-FT48,"Cork Board/Memo Board of Hexagon Felt Pads - 24"" x 18"" (6"" x 6"" each-15 Pack) (Yellow)",1,amazon.com,,Amazon,LEWISBURG,OH,45338-8086,MarketplaceFacilitator,29.99,2.17,0,0,0,0,0,0,-2.17,-4.5,-5.42,0.00,0.00,20.07,,,,,,,,,
"Apr 13, 2020 7:49:53 PM PDT",12796321091,Refund,114-7839709-0853824,Q4-TS23-OSOK,"UVA Hawaiian Shirt (Medium, Blue)",1,amazon.com,,Amazon,ALEXANDRIA,VA,22308-2648,MarketplaceFacilitator,-39.99,-2.4,0,0,0,0,0,0,2.4,5.44,0.00,0.00,0.00,-34.55,,,,,,,,,
"Apr 13, 2020 8:22:04 AM PDT",12796321091,Order,111-5579912-4301862,9T-HGSZ-I5FG,"Cork Board/Memo Board of Hexagon Felt Pads - 24"" x 18"" (6"" x 6"" each-15 Pack) (Blue)",1,amazon.com,,Amazon,CHALFONT,PA,18914-3945,MarketplaceFacilitator,32.99,1.98,0,0,0,0,0,0,-1.98,-4.95,-5.42,0.00,0.00,22.62,,,,,,,,,
"Apr 13, 2020 8:30:35 PM PDT",12796321091,Order,112-2825813-9535459,9T-HGSZ-I5FG,"Cork Board/Memo Board of Hexagon Felt Pads - 24"" x 18"" (6"" x 6"" each-15 Pack) (Blue)",1,amazon.com,,Amazon,BROOKLYN,NY,11206-2047,MarketplaceFacilitator,32.99,2.93,0,0,0,0,0,0,-2.93,-4.95,-5.42,0.00,0.00,22.62,,,,,,,,,
"Apr 13, 2020 8:58:23 AM PDT",12796321091,Order,111-0298102-9040273,9T-HGSZ-I5FG,"Cork Board/Memo Board of Hexagon Felt Pads - 24"" x 18"" (6"" x 6"" each-15 Pack) (Blue)",1,amazon.com,,Amazon,TEMPE,AZ,85281-7530,MarketplaceFacilitator,32.99,2.67,0,0,0,0,0,0,-2.67,-4.95,-5.42,0.00,0.00,22.62,,,,,,,,,
"Apr 13, 2020 9:42:38 AM PDT",12796321091,Order,113-4382849-3924241,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Memo Board for Wall, Pastel Tones - 15 Felt Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,ROCHESTER HILLS,MI,48306-2970,MarketplaceFacilitator,32.99,1.98,0,0,0,0,0,0,-1.98,-4.95,-5.42,0.00,0.00,22.62,,,,,,,,,
"Apr 14, 2019 2:03:06 AM PDT",11632317761,Adjustment,,9R-ECZ3-5OOB,FBA Inventory Reimbursement - Lost:Warehouse,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0.00,20.23,20.23,,,,,,,,,
"Apr 14, 2019 2:03:06 AM PDT",11632317761,Adjustment,,9R-ECZ3-5OOB,FBA Inventory Reimbursement - Lost:Warehouse,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0.00,20.23,20.23,,,,,,,,,
"Apr 14, 2019 2:03:06 AM PDT",11632317761,Adjustment,,9R-ECZ3-5OOB,FBA Inventory Reimbursement - Lost:Warehouse,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0.00,20.23,20.23,,,,,,,,,
"Apr 14, 2019 2:03:06 AM PDT",11632317761,Adjustment,,9R-ECZ3-5OOB,FBA Inventory Reimbursement - Lost:Warehouse,3,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0.00,60.69,60.69,,,,,,,,,
"Apr 14, 2020 2:10:18 AM PDT",12796321091,Order,113-1462557-8561025,26-28FO-FT48,"Cork Board/Memo Board of Hexagon Felt Pads - 24"" x 18"" (6"" x 6"" each-15 Pack) (Yellow)",1,amazon.com,,Amazon,Forest Lake,MN,55025,MarketplaceFacilitator,29.99,2.14,0,0,0,0,0,0,-2.14,-4.5,-5.42,0.00,0.00,20.07,,,,,,,,,
"Apr 14, 2020 3:14:33 PM PDT",12796321091,Refund,113-8037427-4122643,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Memo Board for Wall, Pastel Tones - 15 Felt Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,LAUREL,MD,20707-3719,MarketplaceFacilitator,-29.99,-1.8,0,0,0,0,0,0,1.8,3.6,0.00,0.00,0.00,-26.39,,,,,,,,,
"Apr 14, 2020 3:24:11 PM PDT",12796321091,Order,113-8815885-2728266,26-28FO-FT48,"Cork Board/Memo Board of Hexagon Felt Pads - 24"" x 18"" (6"" x 6"" each-15 Pack) (Yellow)",1,amazon.com,,Amazon,SAINT LOUIS,MO,63104-1834,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.42,0.00,0.00,20.07,,,,,,,,,
"Apr 14, 2020 5:28:29 PM PDT",12796321091,Refund,112-1525431-5634662,9T-HGSZ-I5FG,"Cork Board/Memo Board of Hexagon Felt Pads - 24"" x 18"" (6"" x 6"" each-15 Pack) (Blue)",1,amazon.com,,Amazon,SAINT LOUIS,MO,63108-2333,,-29.99,0,0,0,0,0,0,0,0,3.6,0.00,0.00,0.00,-26.39,,,,,,,,,
"Apr 14, 2020 6:52:35 PM PDT",12796321091,FBA Customer Return Fee,114-7839709-0853824,,FBA Customer Return Per Order Fee,,Amazon.com,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,,,
"Apr 14, 2020 6:52:35 PM PDT",12796321091,FBA Customer Return Fee,114-7839709-0853824,,FBA Customer Return Per Unit Fee,,Amazon.com,,,,,,,0,0,0,0,0,0,0,0,0,0,-3.70,0.00,0.00,-3.70,,,,,,,,,
"Apr 14, 2020 6:52:35 PM PDT",12796321091,FBA Customer Return Fee,114-7839709-0853824,,FBA Customer Return Weight Based Fee,,Amazon.com,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,,,
"Apr 14, 2020 8:19:23 PM PDT",12796321091,Order,113-5459974-4937058,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Memo Board for Wall, Pastel Tones - 15 Felt Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,Brownstown,MI,48173,MarketplaceFacilitator,32.99,1.98,0,0,0,0,0,0,-1.98,-4.95,-5.42,0.00,0.00,22.62,,,,,,,,,
"Apr 15, 2020 10:38:53 AM PDT",12796321091,Order,112-8371697-6105807,9T-HGSZ-I5FG,"Cork Board/Memo Board of Hexagon Felt Pads - 24"" x 18"" (6"" x 6"" each-15 Pack) (Blue)",1,amazon.com,,Amazon,SABETHA,KS,66534-2322,,32.99,0,0,0,0,0,0,0,0,-4.95,-5.42,0.00,0.00,22.62,,,,,,,,,
"Apr 15, 2020 11:10:11 PM PDT",12796321091,Order,113-6819680-7597009,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Memo Board for Wall, Pastel Tones - 15 Felt Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,MIAMI,FL,33165-3149,,32.99,0,0,0,0,0,0,0,0,-4.95,-5.42,0.00,0.00,22.62,,,,,,,,,
"Apr 15, 2020 11:18:12 AM PDT",12796321091,Order,111-2775400-5500222,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Memo Board for Wall, Pastel Tones - 15 Felt Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,MOORPARK,CA,93021-3189,MarketplaceFacilitator,32.99,2.39,0,0,0,0,0,0,-2.39,-4.95,-5.42,0.00,0.00,22.62,,,,,,,,,
"Apr 15, 2020 11:47:01 AM PDT",12796321091,Order,113-7008578-6523425,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Memo Board for Wall, Pastel Tones - 15 Felt Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,Marietta,Ga,30062,MarketplaceFacilitator,32.99,1.98,0,0,0,0,0,0,-1.98,-4.95,-5.42,0.00,0.00,22.62,,,,,,,,,
